TICKER
ADANIENT
APOLLOHOSP
BAJAJ-AUTO
BAJAJFINSV
BAJFINANCE
BHARTIARTL
BRITANNIA
CIPLA
COALINDIA
HDFCLIFE
HEROMOTOCO
HINDALCO
INDUSINDBK
INFY
ITC
KOTAKBANK
LT
LTIM
MARUTI
NESTLEIND
NTPC
ONGC
RELIANCE
SHRIRAMFIN
TATACONSUM
TATASTEEL
TCS
TITAN
ULTRACEMCO
WIPRO
